UF;ANO;SA;CH;ED;EP;IF;IN;PM;SF;SP;SS;RG
MA;2017;16,49;15,49;20,16;42,16;44,62;9,54;33,55;73,30;43,37;0,00;29,87
MG;2017;56,23;41,07;87,07;92,76;59,38;43,71;16,54;22,17;65,86;78,70;56,35
MS;2017;52,19;60,10;51,83;74,25;62,99;29,82;71,42;64,16;76,40;70,04;61,32
MT;2017;10,92;48,51;48,38;75,76;55,21;9,49;45,20;75,92;35,38;61,87;46,66
PA;2017;26,33;21,45;17,04;71,58;24,01;11,11;78,61;78,17;26,71;23,71;37,87
PB;2017;53,20;35,39;41,19;57,88;65,51;33,08;49,38;65,77;47,62;40,35;48,94
PE;2017;60,34;32,26;38,23;78,37;50,57;24,96;20,79;74,35;0,00;36,41;41,63
PI;2017;3,56;4,28;34,94;25,82;44,92;7,17;16,04;77,05;46,78;30,86;29,14
PR;2017;84,75;56,15;72,01;87,84;69,93;60,42;32,49;69,68;79,85;84,03;69,71
RJ;2017;67,17;95,45;60,38;81,59;31,21;60,89;35,79;0,00;42,43;76,04;55,09
RN;2017;47,69;35,43;35,07;51,72;53,40;26,19;21,27;58,92;39,67;42,59;41,19
RO;2017;0,00;37,35;35,03;20,90;50,05;7,14;36,19;81,63;50,45;49,89;36,86
RR;2017;82,87;51,35;36,29;15,66;11,36;8,64;92,19;38,22;66,47;32,29;43,54
RS;2017;52,28;33,87;58,47;100,00;40,11;75,32;42,61;21,31;68,37;88,72;58,11
SC;2017;57,09;70,38;83,10;86,42;65,90;62,24;43,78;76,38;100,00;100,00;74,53
SE;2017;31,51;0,00;17,40;42,90;46,83;12,16;0,00;64,03;0,67;38,08;25,36
SP;2017;78,91;65,13;100,00;94,80;100,00;100,00;100,00;51,89;96,40;90,83;87,80
TO;2017;35,68;43,82;45,86;0,00;34,29;6,22;49,58;66,94;60,64;41,19;38,42
AC;2018;39,39;9,88;33,93;45,45;0,00;1,17;65,41;72,14;30,56;18,93;31,68
AL;2018;56,48;26,41;26,95;61,66;48,39;10,00;12,63;100,00;40,38;22,87;40,58
AM;2018;68,28;44,16;20,87;63,58;11,24;22,91;35,83;91,58;41,46;18,66;41,86
AP;2018;66,46;14,34;0,00;18,88;38,24;1,85;44,76;76,66;60,08;5,52;32,68
BA;2018;41,29;16,07;20,59;63,84;49,19;22,08;6,10;83,53;30,28;28,68;36,16
CE;2018;60,40;35,18;72,41;75,64;55,72;26,06;33,59;95,49;15,54;36,20;50,62
DF;2018;100,00;100,00;64,80;84,11;54,80;43,84;65,87;59,50;89,93;78,03;74,09
ES;2018;64,47;42,73;74,98;81,02;42,60;15,47;4,54;83,69;53,56;72,74;53,58
GO;2018;70,58;24,82;61,21;75,31;32,86;12,56;33,91;85,05;46,00;66,80;50,91
MA;2018;14,06;13,67;21,04;58,80;29,15;10,01;28,84;68,21;64,64;0,00;30,84
MG;2018;59,11;36,53;87,57;86,77;49,70;47,43;11,82;44,44;76,61;80,07;58,01
MS;2018;50,87;33,33;59,39;69,88;50,00;24,69;46,66;63,82;85,11;69,05;55,28
MT;2018;16,75;28,90;55,95;75,65;43,17;13,46;65,14;76,66;57,98;64,75;49,84
PA;2018;18,79;1,43;17,31;80,99;12,53;8,15;100,00;87,91;35,27;15,41;37,78
PB;2018;52,29;23,22;44,32;62,07;67,27;38,44;24,06;80,51;67,84;41,34;50,14
PE;2018;60,32;27,66;41,70;70,13;49,06;26,34;0,28;83,33;0,00;34,78;39,36
PI;2018;0,00;13,69;44,08;37,05;41,93;13,04;31,88;75,43;59,84;25,39;34,23
PR;2018;83,26;42,28;78,61;91,21;62,21;63,44;20,27;80,66;73,82;85,28;68,10
RJ;2018;55,07;93,89;56,00;64,99;32,38;58,56;27,28;0,00;23,82;73,30;48,53
RN;2018;50,18;38,66;43,64;58,39;61,26;28,02;10,59;52,02;16,70;40,81;40,03
RO;2018;10,29;0,00;44,92;48,20;55,82;0,00;43,18;71,40;78,18;50,03;40,20
RR;2018;87,47;70,48;27,70;25,51;32,12;7,40;91,29;51,41;8,02;33,95;43,54
RS;2018;62,93;31,90;64,80;100,00;43,33;75,10;3,67;50,76;72,76;90,34;59,56
SC;2018;65,20;53,77;86,02;77,75;61,31;65,49;51,81;80,87;97,84;100,00;74,01
SE;2018;33,25;10,60;29,36;65,40;38,48;15,57;0,00;66,81;27,95;31,11;31,85
SP;2018;74,99;54,28;100,00;87,11;100,00;100,00;95,74;80,22;100,00;87,41;87,97
TO;2018;29,81;41,85;51,79;0,00;30,13;5,87;72,96;60,90;58,56;49,34;40,12
AC;2019;32,90;35,51;36,40;17,74;0,00;16,86;31,84;58,77;48,03;17,47;29,55
AL;2019;44,29;46,74;31,06;63,72;40,11;45,61;0,00;91,54;63,01;39,03;46,51
AM;2019;46,32;56,25;20,50;56,30;0,76;55,23;33,88;100,00;56,32;18,53;44,41
AP;2019;47,82;66,70;0,00;0,00;26,11;30,74;14,54;81,39;50,41;17,20;33,49
BA;2019;58,55;16,14;13,65;68,26;39,99;8,36;5,74;75,51;38,19;31,29;35,57
CE;2019;51,83;25,86;74,86;78,60;45,70;21,76;17,73;90,32;34,17;38,31;47,91
DF;2019;100,00;100,00;69,71;100,00;62,15;31,93;49,53;49,44;74,20;84,45;72,14
ES;2019;68,81;38,31;68,98;89,71;46,94;15,39;29,90;96,86;69,16;71,92;59,60
GO;2019;72,60;31,29;61,71;72,40;24,21;16,63;25,02;49,30;54,62;71,76;47,95
MA;2019;14,96;25,43;16,90;59,91;25,20;0,00;22,61;58,11;70,25;0,00;29,34
MG;2019;67,73;29,56;87,71;76,96;43,87;44,61;27,92;0,81;69,57;85,30;53,40
MS;2019;69,51;33,31;55,57;80,51;49,67;46,83;50,43;73,12;89,20;77,12;62,53
MT;2019;36,67;40,87;55,56;82,79;44,54;46,15;46,10;38,15;64,21;67,69;52,27
PA;2019;28,65;9,37;8,17;63,25;13,79;19,32;53,10;92,24;40,33;12,25;34,05
PB;2019;53,73;7,35;37,14;54,11;45,44;53,26;9,08;83,17;78,53;46,82;46,86
PE;2019;50,84;39,91;44,88;72,26;48,35;32,36;12,02;46,57;35,96;39,38;42,25
PI;2019;31,78;21,09;40,11;30,54;24,98;26,16;29,64;49,99;55,12;26,49;33,59
PR;2019;79,90;49,25;78,82;90,82;51,92;87,91;31,70;73,50;71,02;92,38;70,72
RJ;2019;66,40;87,95;51,23;62,66;37,75;54,99;20,93;25,34;36,01;74,04;51,73
RN;2019;47,67;48,82;35,16;74,47;47,90;34,21;10,92;80,41;44,66;37,06;46,13
RO;2019;0,00;0,00;40,25;43,26;42,09;29,75;21,36;92,44;61,43;47,51;37,81
RR;2019;64,77;56,69;19,63;21,37;22,11;20,62;100,00;60,76;0,00;30,97;39,69
RS;2019;56,60;35,63;54,93;98,67;31,54;93,64;25,55;0,00;75,99;92,01;56,46
SC;2019;61,02;53,39;82,04;82,50;54,53;90,79;45,74;60,16;100,00;100,00;73,02
SE;2019;38,50;27,99;20,45;54,81;33,21;26,08;2,58;72,83;34,28;32,57;34,33
SP;2019;88,95;64,45;100,00;88,55;100,00;100,00;88,05;70,23;82,90;91,01;87,41
TO;2019;46,01;44,95;46,13;40,67;21,63;9,55;49,59;47,50;54,60;47,35;40,80
AC;2020;10,98;30,59;25,85;7,63;0,66;9,73;41,85;59,13;54,80;7,89;24,91
AL;2020;51,34;17,91;28,40;66,09;55,14;17,21;23,18;75,27;64,43;28,04;42,70
AM;2020;48,32;60,96;14,42;70,45;0,00;64,45;65,06;74,72;69,69;13,22;48,13
AP;2020;49,79;32,26;0,00;6,47;27,61;6,22;29,02;83,20;74,08;0,00;30,86
