SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011010;CAVALOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01011090;ASININOS E MUARES,REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011100;CAVALOS REPRODUTORES,DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011900;OUTROS CAVALOS,VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01012000;ASININOS E MUARES VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01012100;CAVALOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01012900;CAVALOS VIVOS, EXCETO REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01013000;ANIMAIS ESPECIE ASININA/MUAR, REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01019000;ANIMAIS ESPECIE ASININA/MUAR, EXCETO REPROD. RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01019010;CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01019090;ASININOS E MUARES.VIVOS,EXC.REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01021010;BOVINOS REPRODUT.DE RACA PURA,PRENHE OU COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01021090;BOVINOS REPRODUT.DE RACA PURA,EXC.PRENHE/COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022110;BOVINOS REPRODUTORES RACA PURA, PRENHE OU C/ CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022190;OUTROS BOVINOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022911;OUTROS BOVINOS PARA REPRODUCAO, PRENHE OU C/ CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022919;OUTROS BOVINOS PARA REPRODUCAO
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022990;OUTROS BOVINOS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;01023110;BUFALOS REPRODUTORES DE RACA PURA, PRENHE OU COM CRIA A
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;01023190;OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;01023911;OUTROS BUFALOS P/REPRO.,EXC.RACA PURA,PREN.OU C/CRIA PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;01023919;OUTROS BUFALOS PARA REPRODUCAO,EXC.REPROD. RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BUBALINOS VIVOS;01023990;OUTROS BUFALOS
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01029000;OUTROS ANIMAIS VIVOS DA ESPECIE BOVINA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01029011;OUTS.BOVINOS PARA REPRODUCAO,PRENHES OU COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01029019;OUTS.BOVINOS PARA REPRODUCAO
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01029090;OUTROS BOVINOS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);SUÍNOS VIVOS;SUÍNOS VIVOS;01031000;SUINOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);SUÍNOS VIVOS;SUÍNOS VIVOS;01039100;OUTROS SUINOS VIVOS,DE PESO INFERIOR A 50KG
ANIMAIS VIVOS (EXCETO PESCADOS);SUÍNOS VIVOS;SUÍNOS VIVOS;01039200;OUTROS SUINOS VIVOS,DE PESO IGUAL OU SUPERIOR A 50KG
ANIMAIS VIVOS (EXCETO PESCADOS);OVINOS E CAPRINOS VIVOS;OVINOS VIVOS;01041011;OVINOS REPRODUT.DE RACA PURA,PRENHES OU COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);OVINOS E CAPRINOS VIVOS;OVINOS VIVOS;01041019;OUTS.OVINOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);OVINOS E CAPRINOS VIVOS;OVINOS VIVOS;01041090;OVINOS VIVOS EXCETO OS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);OVINOS E CAPRINOS VIVOS;CAPRINOS VIVOS;01042010;CAPRINOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);OVINOS E CAPRINOS VIVOS;CAPRINOS VIVOS;01042090;OUTS.CAPRINOS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;01051110;GALOS/GALINHAS(PINTOS),P<=185G,LINHA PURA/HIBR.P/REPROD
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;01051190;OUTROS GALOS E GALINHAS (PINTOS),VIVOS,DE PESO<=185G
ANIMAIS VIVOS (EXCETO PESCADOS);PERUS VIVOS;PERUS VIVOS;01051200;PERUAS E PERUS (FILHOTES),VIVOS,DE PESO<=185G
ANIMAIS VIVOS (EXCETO PESCADOS);PATOS VIVOS;PATOS VIVOS;01051300;PATOS
ANIMAIS VIVOS (EXCETO PESCADOS);GANSOS VIVOS;GANSOS VIVOS;01051400;GANSOS
ANIMAIS VIVOS (EXCETO PESCADOS);GALINHAS DANGOLA VIVAS;GALINHAS DANGOLA VIVAS;01051500;GALINHAS DANGOLA - PINTADAS
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01051900;PATOS,GANSOS,GALINHAS D'ANGOLA (FILHOTES),VIVOS,P<=185G
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;01059200;OUTROS GALOS E GALINHAS,VIVOS,DE PESO<=2.000G
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;01059300;GALOS E GALINHAS,VIVOS,DE PESO SUPERIOR A 2.000G
ANIMAIS VIVOS (EXCETO PESCADOS);GALOS E GALINHAS VIVOS;GALOS E GALINHAS VIVOS;01059400;GALOS E GALINHAS,VIVOS,DE PESO>185G
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01059900;PATOS,GANSOS,PERUS,PERUAS,ETC.VIVOS,DE PESO>185G
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01060000;OUTROS ANIMAIS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;01060010;AVESTRUZES 'STRUTHIO CAMELUS' PARA REPRODUCAO
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01060090;OUTROS ANIMAIS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);PRIMATAS VIVOS;PRIMATAS VIVOS;01061100;PRIMATAS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01061200;BALEIAS,GOLFINHOS,MARSUINOS,PEIXES-BOI E DUGONGOS,VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);CAMELOS E OUTROS CAMELIDEOS VIVOS;CAMELOS E OUTROS CAMELIDEOS VIVOS;01061300;CAMELOS E OUTROS CAMELIDEOS (CAMELIDAE)
ANIMAIS VIVOS (EXCETO PESCADOS);COELHOS E LEBRES VIVOS;COELHOS E LEBRES VIVOS;01061400;COELHOS E LEBRES
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01061900;OUTROS MAMIFEROS VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);RÉPTEIS VIVOS;RÉPTEIS VIVOS;01062000;REPTEIS VIVOS (INCL.AS SERPENTES E TARTARUGAS MARINHAS)
ANIMAIS VIVOS (EXCETO PESCADOS);AVES DE RAPINA VIVAS;AVES DE RAPINA VIVAS;01063100;AVES DE RAPINA,VIVAS
ANIMAIS VIVOS (EXCETO PESCADOS);PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS;PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS;01063200;PSITACIFORMES VIVOS (INCL.OS PAPAGAIOS,AS ARARAS,ETC)
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;01063310;AVESTRUZES (STRUTHIO CAMELUS), PARA REPRODUCAO
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;01063390;OUTROS AVESTRUZES
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01063900;OUTRAS AVES VIVAS
ANIMAIS VIVOS (EXCETO PESCADOS);AVESTRUZES VIVAS;AVESTRUZES VIVAS;01063910;AVESTRUZES PARA REPRODUCAO
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01063990;OUTRAS AVES VIVAS
ANIMAIS VIVOS (EXCETO PESCADOS);ABELHAS VIVAS;ABELHAS VIVAS;01064100;ABELHAS
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01064900;OUTROS INSETOS
ANIMAIS VIVOS (EXCETO PESCADOS);OUTROS ANIMAIS VIVOS;OUTROS ANIMAIS VIVOS;01069000;OUTROS ANIMAIS VIVOS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02011000;CARCACAS E MEIAS-CARCACAS DE BOVINOS,FRESCAS OU REFRIG.
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02012010;QUARTOS DIANTEIROS N/DESOSSAD.DE BOVINOS,FRESCOS/REFRIG
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02012020;QUARTOS TRASEIROS N/DESOSSAD.DE BOVINOS,FRESCOS/REFRIG.
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02012090;OUTS.PECAS NAO DESOSSADAS DE BOVINOS,FRESCAS OU REFRIG.
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02013000;CARNES DESOSSADAS DE BOVINOS,FRESCAS OU REFRIGERADAS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02021000;CARCACAS E MEIAS-CARCACAS,DE BOVINOS,CONGELADAS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02022010;QUARTOS DIANTEIROS NAO DESOSSADOS,DE BOVINOS,CONGELADOS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02022020;QUARTOS TRASEIROS NAO DESOSSADOS,DE BOVINOS,CONGELADOS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02022090;OUTRAS PECAS NAO DESOSSADAS DE BOVINOS,CONGELADAS
CARNES;CARNE BOVINA;CARNE BOVINA in natura;02023000;CARNES DESOSSADAS,DE BOVINOS,CONGELADAS
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02031100;CARCACAS E MEIAS-CARCACAS DE SUINOS,FRESCAS OU REFRIG.
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02031200;PERNAS,PAS,ETC.NAO DESOSSAD.DE SUINOS,FRESCOS OU REFRIG
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02031900;OUTRAS CARNES DE SUINOS,FRESCAS OU REFRIGERADAS
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02032100;CARCACAS E MEIAS-CARCACAS DE SUINOS,CONGELADAS
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02032200;PERNAS,PAS E PEDACOS NAO DESOSSAD.DE SUINOS,CONGELADOS
CARNES;CARNE SUÍNA;CARNE SUÍNA in natura;02032900;OUTRAS CARNES DE SUINOS,CONGELADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02041000;CARCACAS E MEIAS-CARCACAS DE CORDEIRO,FRESCAS OU REFRIG
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02042100;CARCACAS E MEIAS-CARCACAS DE OVINO,FRESCAS OU REFRIGER.
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02042200;OUTRAS PECAS NAO DESOSSADAS DE OVINOS,FRESCAS OU REFRIG
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02042300;CARNES DESOSSADAS DE OVINOS,FRESCAS OU REFRIGERADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02043000;CARCACAS E MEIAS-CARCACAS DE CORDEIRO,CONGELADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02044100;CARCACAS E MEIAS-CARCACAS DE OVINO,CONGELADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02044200;OUTRAS PECAS NAO DESOSSADAS DE OVINO,CONGELADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNE DE OVINO in natura;02044300;CARNES DESOSSADAS DE OVINO,CONGELADAS
CARNES;CARNE DE OVINO E CAPRINO;CARNES DE CAPRINO in natura;02045000;CARNES DE CAPRINO,FRESCAS,REFRIGERADAS OU CONGELADAS
CARNES;CARNES DE EQÜIDEOS;CARNES DE CAVALO, ASININO E MUAR;02050000;CARNES DE CAVALOS,ASININOS E MUARES,FRESCAS/REFRIG/CONG
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02061000;MIUDEZAS COMESTIVEIS,DE BOVINOS,FRESCAS OU REFRIGERADAS
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02062100;LINGUAS DE BOVINOS,CONGELADAS
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02062200;FIGADOS DE BOVINOS,CONGELADOS
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02062910;RABOS DE BOVINOS,CONGELADOS
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02062990;OUTRAS MIUDEZAS COMESTIVEIS,DE BOVINOS,CONGELADAS
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02063000;MIUDEZAS COMESTIVEIS,DE SUINOS,FRESCAS OU REFRIGERADAS
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02064100;FIGADOS DE SUINOS,CONGELADOS
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02064900;OUTRAS MIUDEZAS COMESTIVEIS,DE SUINOS,CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02068000;MIUDEZAS COMESTIV.DE OVINOS,OUTS.ANIMAIS.FRESCAS/REFRIG
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02069000;MIUDEZAS COMESTIVEIS,DE OVINOS,OUTS.ANIMAIS,CONGELADAS
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02071100;GALOS E GALINHAS,N/CORTADAS EM PEDACOS,FRESCAS/REFRIG.
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02071200;GALOS E GALINHAS,N/CORTADAS EM PEDACOS,CONGELADAS
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02071300;PEDACOS E MIUD.COMEST.DE GALOS/GALINHAS,FRESCAS/REFRIG.
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02071400;PEDACOS E MIUDEZAS,COMESTIV.DE GALOS/GALINHAS,CONGELAD.
CARNES;CARNE DE PERU;CARNE DE PERU in natura;02072400;PERUAS E PERUS,N/CORTADOS EM PEDACOS,FRESCOS/REFRIGER.
CARNES;CARNE DE PERU;CARNE DE PERU in natura;02072500;PERUAS E PERUS,N/CORTADOS EM PEDACOS,CONGELADOS
CARNES;CARNE DE PERU;CARNE DE PERU in natura;02072600;PERUAS E PERUS,EM PEDACOS,MIUDEZ.COMEST.FRESCOS/REFRIG.
CARNES;CARNE DE PERU;CARNE DE PERU in natura;02072700;PERUAS E PERUS,EM PEDACOS E MIUDEZ.COMESTIV,CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02073200;PATOS,GANSOS,ETC.N/CORTADOS EM PEDACOS,FRESCOS/REFRIG.
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02073300;CARNES DE PATOS,GANSOS,ETC.N/CORT.EM PEDACOS,CONGELADOS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02073400;FIGADOS GORDOS,DE PATOS/GANSOS/PINTADAS,FRESCAS/REFRIG.
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02073500;OUTS.CARNES/MIUDEZAS,DE PATOS,GANSOS,ETC.FRESCAS/REFRIG
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02073600;OUTRAS CARNES,MIUDEZAS,DE PATOS,GANSOS,ETC.CONGELADAS
CARNES;CARNE DE PATO;CARNE DE PATO in natura;02074100;CARNES DE PATOS, NAO CORT. EM PEDACOS,FRESCAS OU REFRIG
CARNES;CARNE DE PATO;CARNE DE PATO in natura;02074200;CARNES DE PATOS, NAO CORTADAS EM PEDACOS, CONGELADAS
CARNES;CARNE DE PATO;CARNE DE PATO in natura;02074300;FIGADOS GORDOS (FOIES GRAS) DE PATOS, FRES. OU REFRIG.
CARNES;CARNE DE PATO;CARNE DE PATO in natura;02074400;OUTRAS CARNES DE PATOS, FRESCAS OU REFRIGERADAS
CARNES;CARNE DE PATO;CARNE DE PATO in natura;02074500;OUTRAS CARNES DE PATOS, CONGELADAS
CARNES;CARNE DE GANSO;CARNE DE GANSO in natura;02075100;CARNES DE GANSOS, NAO CORT. EM PED., FRESCAS OU REFRIG
CARNES;CARNE DE GANSO;CARNE DE GANSO in natura;02075200;CARNES DE GANSOS, NAO CORTADAS EM PEDACOS, CONGELADAS
CARNES;CARNE DE GANSO;CARNE DE GANSO in natura;02075300;FIGADOS GORDOS (FOIES GRAS) DE GANSOS,FRESCOS OU REFRIG
CARNES;CARNE DE GANSO;CARNE DE GANSO in natura;02075400;OUTRAS CARNES DE GANSOS, FRESCAS OU REFRIGERADAS
CARNES;CARNE DE GANSO;CARNE DE GANSO in natura;02075500;OUTRAS CARNES DE GANSOS, CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02076000;CARNES DE GALINHAS DANGOLA (PINTADAS)
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02081000;CARNES E MIUDEZAS,DE COELHOS/LEBRES,FRESCAS/REFRIG/CONG
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02082000;COXAS DE RA,FRESCAS,REFRIGERADAS OU CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02083000;CARNES DE PRIMATAS,CONGADAS,FRESCAS OU REFRIGERADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02084000;CARNES DE BALEIAS,ETC.FRESCAS,REFRIG.OU CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02085000;CARNES DE REPTEIS,FRESCAS,REFRIGERADAS OU CONGELADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02086000;OUTRAS CARNES/MIUD.COMES,DE CAMELOS E OUTROS CAMELIDEOS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02089000;CARNES E MIUDEZAS,DE OUTS.ANIMAIS,FRESCOS/REFRIG/CONG.
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02090011;TOUCINHO SEM PARTES MAGRAS,FRESCO/REFRIGERADO/CONGELADO
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02090019;TOUCINHO SEM PARTES MAGRAS,SALGADO/SALMOURA/SECO/DEFUM.
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;GORDURAS DE PORCO;02090021;GORDURA DE PORCO,FRESCA,REFRIGERADA OU CONGELADA
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;GORDURAS DE PORCO;02090029;GORDURA DE PORCO,N/FUNDIDA,SALGADA,EM SALMOURA,SECA,ETC
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL;02090090;GORDURA DE AVES,N/FUNDIDA,FRESCA,REFRIGERADA,CONGEL.ETC
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02091011;TOUCINHO DE PORCO, FRESCO, REFRIGERADO OU CONGELADO
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02091019;OUTROS TOUCINHOS DE PORCO
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;GORDURAS DE PORCO;02091021;GORDURA DE PORCO, FRESCA, REFRIGERADA OU CONGELADA
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;GORDURAS DE PORCO;02091029;OUTRAS GORDURAS DE PORCO
DEMAIS PRODUTOS DE ORIGEM ANIMAL;GORDURAS e OLEOS DE ORIGEM ANIMAL;OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL;02099000;OUTROS TOUCINHOS E GORDURAS
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02101100;PERNAS/PAS/PEDACOS,DE SUINO,N/DESOSSADOS,SALGADOS,ETC.
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02101200;BARRIGAS E PEITOS,ENTREMEADOS,DE SUINO,SALGADOS,ETC.
CARNES;CARNE SUÍNA;MIUDEZAS DE CARNE SUÍNA;02101900;OUTS.CARNES DE SUINO,SALGADAS OU EM SALMOURA,SECAS,ETC.
CARNES;CARNE BOVINA;MIUDEZAS DE CARNE BOVINA;02102000;CARNES DE BOVINOS,SALGADAS/EM SALMOURA/SECAS/DEFUMADAS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109000;CARNES E MIUDEZAS,DE OUTROS ANIMAIS,SALGADOS,ETC.
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109100;CARNES DE PRIMATAS,SALGADAS,SECAS,ETC.
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109200;CARNES DE BALEIAS,ETC.SALGADAS,SECAS,ETC.
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109300;CARNES DE REPTEIS,SALGADAS,SECAS,ETC.
CARNES;CARNE DE FRANGO;CARNE DE FRANGO INDUSTRIALIZADA;02109900;CARNES DE OUTS.ANIMAIS,SALGADAS,SECAS,ETC.
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02109911;CARNES DE GALOS E DE GALINHAS SALGADAS OU EM SALMOURA
CARNES;CARNE DE FRANGO;CARNE DE FRANGO in natura;02109919;OUTRAS CARNES DE GALOS E GALINHAS
CARNES;CARNE DE OVINO E CAPRINO;MIUDEZAS DE CARNE DE OVINO;02109920;CARNES DA ESPÉCIE OVINA
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109940;OUTRAS MIUDEZAS COMESTÍVEIS
CARNES;DEMAIS CARNES, MIUDEZAS E PREPARAÇÕES;DEMAIS CARNES E MIUDEZAS;02109990;CARNES DE OUTROS ANIMAIS, SALGADAS, SECAS, ETC.
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011000;PEIXES ORNAMENTAIS,VIVOS
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011010;PEIXE ARUANA VIVO (ORNAMENTAL)
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011090;OUTS.PEIXES VIVOS ORNAMENTAIS,EXCETO ARUANA
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011110;ARUANA (OSTEOGLOSSUM BICIRRHOSUM)
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011190;OUTROS PEIXES ORNAMENTAIS, VIVOS, DE AGUA DOCE
PESCADOS;PEIXES;PEIXES ORNAMENTAIS VIVOS;03011900;OUTROS PEIXES ORNAMENTAIS VIVOS
PESCADOS;PEIXES;TRUTAS, VIVAS;03019110;PEIXES TRUTAS,PARA REPRODUCAO
PESCADOS;PEIXES;TRUTAS, VIVAS;03019190;PEIXES TRUTAS,VIVOS,EXCETO PARA REPRODUCAO
