SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
DEMAIS PRODUTOS DE ORIGEM ANIMAL;OUTROS PRODUTOS DE ORIGEM ANIMAL;OUTROS PRODUTOS DE ORIGEM ANIMAL;35030090;ICTIOCOLA,OUTS.COLAS DE ORIG.ANIMAL,EXC.COLA DE CASEINA
DEMAIS PRODUTOS DE ORIGEM ANIMAL;ALBUMINA, GELATINAS E OUTRAS SUBSTÂNCIAS PROTEICAS;PEPTONAS E SEUS DERIVADOS;35040011;PEPTONAS E PEPTONATOS
DEMAIS PRODUTOS DE ORIGEM ANIMAL;ALBUMINA, GELATINAS E OUTRAS SUBSTÂNCIAS PROTEICAS;PEPTONAS E SEUS DERIVADOS;35040019;OUTROS DERIVADOS DAS PEPTONAS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;35040020;PROTEINAS DE SOJA EM PO,TEOR PROTEINA EM BASE SECA>=90%
DEMAIS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;35040030;PROTEINAS DE BATATA EM PO,TEOR>=80% PESO,EM BASE SECA
DEMAIS PRODUTOS DE ORIGEM ANIMAL;ALBUMINA, GELATINAS E OUTRAS SUBSTÂNCIAS PROTEICAS;OUTRAS SUBSTÂNCIAS PROTEICAS;35040090;OUTRAS MATERIAS PROTEICAS,SEUS DERIVADOS E PO DE PELES
DEMAIS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;35051000;DEXTRINA E OUTROS AMIDOS E FECULAS MODIFICADOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;OUTROS PRODUTOS DE ORIGEM VEGETAL;35052000;COLAS A BASE DE AMIDOS OU DE FECULAS,DE DEXTRINA,ETC.
DEMAIS PRODUTOS DE ORIGEM ANIMAL;OUTROS PRODUTOS DE ORIGEM ANIMAL;OUTROS PRODUTOS DE ORIGEM ANIMAL;35071000;COALHO E SEUS CONCENTRADOS
DEMAIS PRODUTOS DE ORIGEM VEGETAL;ENZIMAS E SEUS CONCENTRADOS;ENZIMAS E SEUS CONCENTRADOS;35079011;ALFA-AMILASE (ASPERGILLUS ORYZAE)
